Time,Number,GMDn,GSDn,mode_n,ultra_n,accum_n,coarse_n,Surface,GMDs,GSDs,mode_s,ultra_s,accum_s,coarse_s,Volume,GMDv,GSDv,mode_v,ultra_v,accum_v,coarse_v
2020-10-06 13:00:00,26323.14293788973,29.965174030960462,1.8067565530058505,[ 21.71984798 159.0418089  593.3336464 ],0.95,0.05,0.0,276063105.5318228,159.506611898608,3.197838223486357,[ 29.94450846  89.22418168 199.1285777 ],0.32,0.59,0.09,14829338082.169895,639.4237432979099,3.02420086684364,[ 36.30725647 219.2662121  742.8844399 ],0.05,0.49,0.46
2020-10-06 15:00:00,25386.754458908938,28.387205852050926,1.8004985278489105,[ 19.72507481 159.0418089 ],0.95,0.05,0.0,244792276.4883107,155.76172732361684,3.175865650500454,[ 30.92169053  71.26237437 219.2662121 ],0.33,0.59,0.08,12593104568.450298,601.8125963896528,3.0178376140752943,[ 73.58788638 241.4403412  505.3226594 ],0.05,0.52,0.43
2020-10-06 16:00:00,31426.218608811978,30.549822241405696,1.762542095171505,[ 21.033461    50.05573471 164.2318358 ],0.96,0.04,0.0,281739070.70981,133.75046321634474,3.229716505312074,[ 51.68920838 192.8357499  444.4108057 ],0.42,0.51,0.07,13311121416.807686,598.1826907318248,3.174322733798116,[ 51.68920838 212.3369981  444.4108057 ],0.07,0.49,0.44
2020-10-06 17:00:00,24290.087349138885,28.99889637432295,1.8651779573492124,[ 17.91350366 159.0418089 ],0.94,0.06,0.0,263011964.66325617,166.57638054024542,3.155912713688722,[ 27.19437402  58.77383697 180.8404044 ],0.3,0.62,0.09,14401881385.696186,636.275259000139,2.9797023081794696,[ 37.4920747   71.26237437 233.8103842 ],0.04,0.51,0.45
2020-10-06 19:00:00,36801.900647306946,27.72521928427459,1.7488903726377318,[ 19.72507481 159.0418089  593.3336464 ],0.96,0.04,0.0,313049235.7205092,147.3943045049206,3.3193745935301275,[ 35.15988065 192.8357499  473.8890695 ],0.35,0.57,0.08,16047510806.554281,620.5739672304384,3.037299773561715,[ 51.68920838 212.3369981  696.6733223 ],0.05,0.51,0.44
2020-10-06 20:00:00,32406.72163448392,29.641481250878996,1.7619823725823247,[ 22.4286339   42.63081512 159.0418089 ],0.95,0.05,0.0,316554159.38232267,156.57531814709665,3.288028057250872,[ 48.47388181 192.8357499  653.3367668 ],0.33,0.58,0.08,17001856576.511072,640.1065661968073,2.992633497731628,[ 48.47388181 212.3369981  742.8844399 ],0.05,0.51,0.45
2020-10-06 21:00:00,27856.337954060044,28.73862366315842,1.7515179899531064,[ 21.033461  175.1255164],0.96,0.04,0.0,261370787.54799685,154.8750482579724,3.2396641280542187,[ 35.15988065  89.22418168 199.1285777 ],0.32,0.6,0.08,13558099399.53862,608.0568599493994,2.995198717563477,[ 39.97896578  78.46905285 205.62676   ],0.05,0.52,0.43
2020-10-06 22:00:00,24957.796539390467,27.788029471261197,1.723380578737547,[ 24.69681475 175.1255164 ],0.96,0.04,0.0,220790997.48732194,160.98168679102727,3.421301800828575,[ 36.30725647  89.22418168 226.4215477 ],0.33,0.58,0.09,12361833602.186405,657.5708028809426,2.9124852965746033,[ 44.02199067 241.4403412  458.9133069 ],0.04,0.51,0.45
2020-10-06 23:00:00,14692.348416382842,30.980408058376607,1.8146654328673801,[ 14.77421084  28.99820714 164.2318358 ],0.94,0.06,0.0,169249286.39042187,169.60897042103218,3.146837490455597,[ 35.15988065 192.8357499  574.5832163 ],0.29,0.63,0.08,9245560125.989872,616.2368166926761,2.9099430682751524,[ 50.05573471 241.4403412  489.3535377 ],0.04,0.53,0.43
2020-10-07 00:00:00,14930.401107458243,29.91863139479252,1.8085858212132082,[  17.34740413  175.1255164  2213.536292  ],0.95,0.05,0.0,160616861.04862046,165.23440236390587,3.1669488880379393,[ 20.3687651   39.97896578 205.62676   ],0.31,0.61,0.08,8615898959.830011,610.5568403239366,2.936318318687117,[ 56.91647606 226.4215477  444.4108057 ],0.04,0.53,0.43
